PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh ,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005110920,688689759,             40.9043543900767,             29.2548398776201,782,VELİBABA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/15/2024,2/15/2024,2/15/2024,781.56,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005110920,690773532,             40.9043543900767,             29.2548398776201,"3,998",VELİBABA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/28/2024,6/27/2024,6/28/2024,3997.98,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005118614,688653232,             40.9059737654868,             29.2629930377786,"8,880",YAYALAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/16/2024,2/15/2024,2/16/2024,480,8400
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005123052,690597831,             40.8695574210219,             29.3130216776757,"1,656",AYDINLI,TUZLA,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/11/2024,6/10/2024,6/11/2024,1656,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005125505,688330534,             40.8712145800000,             29.2334959775000,"60,388",BATI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/6/2024,1/27/2024,2/6/2024,19908.1318681,40479.8681319
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005125505,688330534,             40.8712145800000,             29.2334959775000,"203,331",BATI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,06.02.2024,1/30/2024,1/27/2024,1/30/2024,64998,138333
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005125505,688330534,             40.8712145800000,             29.2334959775000,"-203,331",BATI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,06.02.2024,1/30/2024,1/27/2024,2/6/2024,-64998,-138333
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005125505,688389332,             40.8712145800000,             29.2334959775000,"4,588",BATI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/8/2024,2/8/2024,2/8/2024,4588,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005131669,690781010,             40.8755764974162,             29.2596711642921,"6,278",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/26/2024,6/26/2024,6/26/2024,6278.4,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005150417,688196849,             40.8812725977398,             29.2624373348048,"2,525",FEVZİ ÇAKMAK,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/22/2024,1/22/2024,1/22/2024,2525.04,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005154544,686779019,             40.8731300530836,             29.2799170506975,"2,705",KAVAKPINAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/5/2024,11/8/2023,2/5/2024,2705.4,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005154544,686779019,             40.8731300530836,             29.2799170506975,"-5,681",KAVAKPINAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,01.02.2024,11/9/2023,11/8/2023,2/1/2024,-5681.34,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005248352,687981072,             40.8716860141369,             29.2603541404633,"7,677",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/8/2024,1/6/2024,1/8/2024,593.35,7083.65
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005252120,687756189,             40.8713671432494,             29.2815802150209,673,KAVAKPINAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/3/2024,1/2/2024,1/3/2024,672.84,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005282336,689098743,             40.8767805667756,             29.2623900007931,"3,968",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/8/2024,3/7/2024,3/8/2024,601.2,3366.72
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005284037,688196850,             40.8775156242673,             29.2508986130691,"3,582",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/21/2024,3/21/2024,1753.5,1828.65
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005448508,687980673,             40.8716855872517,             29.2603517002994,"8,401",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/8/2024,1/6/2024,1/8/2024,631.35,7769.65
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005454771,688285625,             40.8881534924115,             29.2259127480131,"8,884",YENİ,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/23/2024,1/23/2024,1/23/2024,220.456,8663.123
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005459349,687585933,             40.8957674005664,             29.2532126653487,936,VELİBABA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/16/2024,1/16/2024,1/16/2024,624,312
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005459349,688323953,             40.8957674005664,             29.2532126653487,336,VELİBABA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/1/2024,1/30/2024,2/1/2024,336,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005459349,690331227,             40.8957674005664,             29.2532126653487,"4,500",VELİBABA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/5/2024,6/3/2024,6/5/2024,180,4320
