PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4010491129.0,688142589.0,40.9724009632694,29.1082911848489,0,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,25.01.2024,1/25/2024,1/15/2024,1/25/2024,0.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4011545931.0,688357379.0,40.9790144722508,29.1395440178482,3244,KAYIŞDAĞI,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/29/2024,1/25/2024,1/29/2024,108.169,3135.76
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4011936602.0,688436878.0,40.9901478837288,29.1764541337197,4011,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/2/2024,1/26/2024,2/2/2024,0.0,4011.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4012544336.0,688037338.0,40.9736798820086,29.1252761660144,7272,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/10/2024,1/9/2024,1/10/2024,1224.0,6048.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4012973618.0,689195885.0,40.9720916,29.1099855,3607,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/2/2024,4/2/2024,4/2/2024,3607.2,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013034215.0,689592387.0,41.1373019,28.4688776,6739,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/3/2024,4/3/2024,4/3/2024,6739.2,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013045718.0,687697720.0,40.9857181700057,29.1648307458011,2705,YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/3/2024,1/3/2024,1/3/2024,2705.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013045718.0,687697720.0,40.9857181700057,29.1648307458011,0,YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,03.01.2024,1/3/2024,1/3/2024,1/3/2024,0.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013045720.0,687697707.0,40.9857181700057,29.1648307458011,3888,YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/3/2024,12/28/2023,1/3/2024,3888.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013045724.0,687675088.0,40.9762561173742,29.182864375177,3240,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/3/2024,12/27/2023,1/3/2024,3240.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013049868.0,687690233.0,40.985510985,29.193030025,5845,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/8/2024,12/28/2023,1/8/2024,5844.96,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013057842.0,688014925.0,40.9733191598207,29.122521718964,3888,,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/15/2024,1/8/2024,1/15/2024,3888.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013059661.0,688141207.0,40.9829164738767,29.1696673957631,2592,,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/16/2024,1/16/2024,1/16/2024,2592.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013097025.0,688655076.0,41.1373019,28.4688776,44582,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/16/2024,2/10/2024,2/16/2024,44582.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013108791.0,688882936.0,41.1373019,28.4688776,4329,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/29/2024,2/24/2024,2/29/2024,4328.64,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013112202.0,688800970.0,40.9908332,29.1637767,2592,YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,2/26/2024,3/12/2024,2592.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013112205.0,688950684.0,40.979684916614,29.1778347881585,5782,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/4/2024,2/28/2024,3/4/2024,5781.888,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013117918.0,687783677.0,40.9820853872225,29.1816121526063,2592,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/8/2024,3/4/2024,3/8/2024,2592.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013117945.0,687368679.0,40.9762385509772,29.1497069494956,2705,İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/11/2024,3/5/2024,3/11/2024,2705.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013118000.0,687309394.0,40.9810622711666,29.1756627196446,2592,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/8/2024,3/4/2024,3/8/2024,2592.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013120161.0,689053029.0,40.9813912399113,29.1409160848707,2705,KAYIŞDAĞI,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,3/9/2024,3/12/2024,2705.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013120291.0,689030988.0,41.1373019,28.4688776,8748,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,3/9/2024,3/12/2024,8748.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013120301.0,689030927.0,40.9720916,29.1099855,2705,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,3/9/2024,3/12/2024,2705.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013120321.0,689001103.0,40.9869642,29.1319157,3888,,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,3/9/2024,3/12/2024,3888.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013120321.0,689475025.0,40.9869642,29.1319157,691,,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/2/2024,4/2/2024,4/2/2024,691.2,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013126050.0,689201957.0,40.9793571615592,29.1779883205891,4109,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/18/2024,3/14/2024,3/18/2024,4109.184,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013126449.0,690412943.0,40.969172960613,29.1090111248195,3780,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/31/2024,5/31/2024,5/31/2024,3780.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013132260.0,689337146.0,40.9812704,29.1187097,16036,KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/23/2024,3/21/2024,3/23/2024,16035.84,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013143500.0,689483932.0,40.9710668,29.1347028,2705,FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/3/2024,4/1/2024,4/3/2024,2705.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013143509.0,689560222.0,40.9845837373226,29.1931134573932,3240,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/3/2024,4/2/2024,4/3/2024,3240.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013150342.0,689592027.0,40.9824177296832,29.1833991743624,4316,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/8/2024,4/5/2024,4/8/2024,4315.68,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013164922.0,689554716.0,40.9871004371041,29.1656076476698,2705,YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/29/2024,4/24/2024,4/29/2024,2705.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4013180948.0,690064142.0,40.9720916,29.1099855,2592,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/14/2024,5/8/2024,5/14/2024,2592.0,0.0
